ID,lat,lon,type,output,capacity,demnad_power,demnad_cellular,demnad_police,demnad_fire,c_s,c_f,description
3,35.9064573740001,-84.1563089379999,1,10098.0,16000.0,0.0,0,0,0,0.126,392.9625,substation
14,35.9422886250001,-83.9802600909999,1,70686.0,112000.0,0.0,0,0,0,0.126,392.9625,substation
17,35.9629173000001,-84.0083764999999,1,10098.0,16000.0,0.0,0,0,0,0.126,392.9625,substation
21,35.92616,-84.094186,1,10098.0,16000.0,0.0,0,0,0,0.126,392.9625,substation
27,35.8984166660001,-84.048805556,2,5770.285714285714,30.0,5.0,0,0,0,33.333333333333336,100.0,cellular
28,35.965638889,-84.068805555,2,5770.285714285714,30.0,5.0,0,0,0,33.333333333333336,100.0,cellular
29,35.917072445,-84.100643793,3,18858.464441352746,0.0,3840.395,2,2,2,500.0,500.0,hospital
30,35.89849035,-84.144295289,3,6413.147840325343,0.0,3840.395,2,2,2,500.0,500.0,hospital
35,35.929029,-84.036879,4,6096.193333333333,30.0,163.705,2,0,0,387.16,387.16,police
48,35.9095432,-84.1127966,5,3325.7420636301367,40.0,163.705,2,0,0,1064.65,1064.65,fire
50,35.9372831,-84.0082183,5,3325.7420636301367,40.0,163.705,2,0,0,1064.65,1064.65,fire
59,35.9097705,-84.144088,6,2239.9114367627594,0.0,68.25827248875447,1,1,1,0.0,0.0,manufacturing
60,35.965796,-83.9913774,6,1313.5827892921684,0.0,47.99815505443524,1,1,1,0.0,0.0,manufacturing
63,35.9497807,-84.0108057,6,1634.7248186443217,0.0,72.24915386031122,1,1,1,0.0,0.0,manufacturing
66,35.9609447,-84.1357717,6,2338.465786906369,0.0,54.15673894157023,1,1,1,0.0,0.0,manufacturing
72,35.9600576,-84.0041583,6,2049.340618247468,0.0,70.65394925998376,1,1,1,0.0,0.0,manufacturing
80,35.9126504,-84.1331998,6,1780.0154282824924,0.0,59.683516677422745,1,1,1,0.0,0.0,manufacturing
84,35.9280057,-84.0054389,6,1347.911333360929,0.0,50.69198798599093,1,1,1,0.0,0.0,manufacturing
93,35.9218166,-84.1373314,6,1919.760531633614,0.0,61.19242040050933,1,1,1,0.0,0.0,manufacturing
94,35.9675466,-84.1270859,6,2597.2071823040787,0.0,54.67672129335369,1,1,1,0.0,0.0,manufacturing
