ID,lat,lon,type,output,capacity,demnad_power,demnad_cellular,demnad_police,demnad_fire,c_s,c_f,description
8,35.9480536620001,-83.926510857,1,10098.0,16000.0,0.0,0,0,0,0.126,392.9625,substation
9,35.980372,-83.9399187,1,20196.0,32000.0,0.0,0,0,0,0.126,392.9625,substation
11,35.9839764660001,-83.914428003,1,10098.0,16000.0,0.0,0,0,0,0.126,392.9625,substation
18,35.9604941000001,-83.9689322,1,10098.0,16000.0,0.0,0,0,0,0.126,392.9625,substation
25,35.9606388890001,-83.9846388889999,2,5770.285714285714,30.0,5.0,0,0,0,33.333333333333336,100.0,cellular
31,35.9570317210001,-83.9372099029999,3,23398.46514019692,0.0,3840.395,2,2,2,500.0,500.0,hospital
32,35.9404473380001,-83.943884128,3,21747.55579516268,0.0,3840.395,2,2,2,500.0,500.0,hospital
34,35.959738,-83.925334,4,6096.193333333333,30.0,163.705,2,0,0,387.16,387.16,police
40,35.967137,-83.908118,4,6096.193333333333,30.0,163.705,2,0,0,387.16,387.16,police
42,35.9606459,-83.9333973,5,3325.7420636301367,40.0,163.705,2,0,0,1064.65,1064.65,fire
47,35.9812608,-83.9269203,5,3325.7420636301367,40.0,163.705,2,0,0,1064.65,1064.65,fire
61,35.9674236,-83.9189057,6,1140.0442874384446,0.0,59.69237777342579,1,1,1,0.0,0.0,manufacturing
70,35.9644136,-83.9463889,6,1520.630197157082,0.0,67.65261409358364,1,1,1,0.0,0.0,manufacturing
71,35.9654545,-83.8969024,6,1386.8685652466554,0.0,63.5202720219985,1,1,1,0.0,0.0,manufacturing
76,35.9736558,-83.9278515,6,1027.903145951194,0.0,53.39280215303551,1,1,1,0.0,0.0,manufacturing
79,35.9566989,-83.9123651,6,2831.212699532549,0.0,63.57290522365844,1,1,1,0.0,0.0,manufacturing
82,35.9928688,-83.9466344,6,2852.3628534129075,0.0,70.50208589084015,1,1,1,0.0,0.0,manufacturing
83,35.9962681,-83.8973503,6,1789.7512258471097,0.0,71.61531321101779,1,1,1,0.0,0.0,manufacturing
88,35.9760601,-83.9659302,6,1352.3925111501103,0.0,55.83533935917092,1,1,1,0.0,0.0,manufacturing
95,35.9920623,-83.9112578,6,1980.5070452398556,0.0,62.51150769114696,1,1,1,0.0,0.0,manufacturing
